Compound,Reference Compound,SMILES,PelePhysics Key,Weight %
C08-Monocycloparaffin,ethyl cyclohexane,CCC1CCCCC1,C6H11C2H5,1.01
C09-Monocycloparaffin,propyl cyclohexane,CCCC1CCCCC1,C6H11C3H7,3.06
C10-Monocycloparaffin,butyl cyclohexane,CCCCC1CCCCC1,C6H11C4H9,4.47
C11-Monocycloparaffin,pentyl cyclohexane,CCCCCC1CCCCC1,C6H11C5H11,3.55
C12-Monocycloparaffin,hexyl cyclohexane,CCCCCCC1CCCCC1,C6H11C6H13,2.45
C13-Monocycloparaffin,heptyl cyclohexane,CCCCCCCC1CCCCC1,C6H11C7H15,2.25
C14-Monocycloparaffin,octyl cyclohexane,CCCCCCCCC1CCCCC1,C6H11C8H17,1.19
C15-Monocycloparaffin,nonyl cyclohexane,CCCCCCCCCC1CCCCC1,C6H11C9H19,0.77
C16-Monocycloparaffin,decyl cyclohexane,CCCCCCCCCCC1CCCCC1,C6H11C10H21,0.11
C17-Monocycloparaffin,undecyl cyclohexane,CCCCCCCCCCCC1CCCCC1,C6H11C11H23,0.02
C08-Dicycloparaffin,Octahydropentalene,C1CC2CCCC2C1,OHPEN,0.03
C09-Dicycloparaffin,Hydrindane,C1CCC2CCCC2C1,HYDRIND,0.35
C10-Dicycloparaffin,Decalin,C1CCC2CCCCC2C1,DECALIN,0.47
C11-Dicycloparaffin,2-methyldecalin,CC1CCC2CCCCC2C1,METHYLDECALIN-2,0.71
C12-Dicycloparaffin,2-ethyldecalin,CCC1CCC2CCCCC2C1,ETHYLDECALIN-2,0.77
C13-Dicycloparaffin,2-propyldecalin,CCCC1CCC2CCCCC2C1,PROPYLDECALIN-2,0.52
C14-Dicycloparaffin,2-butyldecalin,CCCCC1CCC2CCCCC2C1,BUTYLDECALIN-2,0.45
C15-Dicycloparaffin,2-pentyldacalin,CCCCCC1CCC2CCCCC2C1,PENTYLDECALIN-2,0.08
C10-Tricycloparaffin,C1CC2C(C1)C1CCCC21,C1CC2C(C1)C1CCCC21,TRICYCLO-C10,0.0
C11-Tricycloparaffin,C1CC2CC3CCCC3C2C1,C1CC2CC3CCCC3C2C1,TRICYCLO-C11,0.11
C12-Tricycloparaffin,C1CC2CC3CCCC3CC2C1,C1CC2CC3CCCC3CC2C1,TRICYCLO-C12,0.0
